countryyearcode,SLE,countrycode,countryname,year,,region,regionname,incomelevel,incomelevelname,GRxGincSC2022,GRxGincSC2021,GDP per capita (constant 2015 US$),GRpcUNUWIDER 2022,GRpc UNU WIDER,Pop total,"Population ages 00-04, female","Population ages 00-04, male",Pop<5,"Population ages 15-19, female","Population ages 20-24, female","Population ages 25-29, female","Population ages 30-34, female","Population ages 35-39, female","Population ages 40-44, female","Population ages 45-49, female",Female Pop15-49,"Mortality rate, infant (per 1,000 live births)",INFANT SURVIVAL ,Number of infants surviving to 1yr,"Birth rate, crude (per 1,000 people)",Number of births,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal survival per 100,000 live births",Maternal survival rate %,"Mortality rate, under-5 (per 1,000 live births)",U5 survival rate (per 1000 live births),U5 survival %,Number of children surviving to five ,Number of maternal deaths,Number of under-five deaths,"School life expectancy, primary and secondary, both sexes (years)",School percent,People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),"Immunization, DPT (% of children ages 12-23 months)",Control of Corruption: Estimate,Government Effectiveness: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Out of school: Primary school,Out of school: Lower school,Out of school: Upper school,In school: Primary school,In school: Lower school,In school: Upper school
HKG2008,0,HKG,"Hong Kong SAR, China",2008,1000,EAS,East Asia and Pacific,HIC,High income,0.19343562,0.19343562,36923.89,7142.395557,7142.395557,6957800,102999,117755,220754,214639,245076,293627,311227,326952,349670,354095,2095286,,,,11.3,78623.14,,,,,,,,,,12.406625,72.98014706,99.4144,99.1146,96.6623,86.0536,,1.901366,1.856298,1.130013,1.954163,1.489005,0.447788,0,0.03,0.22,1,0.97,0.78
HKG2009,0,HKG,"Hong Kong SAR, China",2009,1000,EAS,East Asia and Pacific,HIC,High income,0.202376985,0.202376985,35938.4,7273.105027,7273.105027,6972800,105212,121998,227210,212923,237245,302267,313472,326124,339363,357117,2088511,,,,11.8,82279.04,,,,,,,,,,12.47281875,73.36952206,99.4982,99.2387,96.6492,86.0426,,1.886195,1.741184,0.9661998,1.819855,1.49594,0.4794998,0,0.02,0.22,1,0.98,0.78
HKG2010,0,HKG,"Hong Kong SAR, China",2010,1000,EAS,East Asia and Pacific,HIC,High income,0.222863181,0.222863181,38089.81,8488.81622,8488.81622,7024200,107751,126159,233910,209967,229727,309253,320517,327798,333634,357934,2088830,,,,12.6,88504.92,,,,,,,,,,12.5390125,73.75889706,99.5819,99.3629,96.636,86.0316,,1.962684,1.680426,0.9358106,1.87657,1.543053,0.5148422,0,0.01,0.2,1,0.99,0.8
HKG2011,0,HKG,"Hong Kong SAR, China",2011,1000,EAS,East Asia and Pacific,HIC,High income,0.237763579,0.237763579,39656.11,9428.77864,9428.77864,7071600,114022,134428,248450,206768,230689,304511,324181,328712,330243,356812,2081916,,,,13.5,95466.6,,,,,,,,,,12.60520625,74.14827206,99.6657,99.4872,96.6228,86.0207,,1.852496,1.650636,0.9485961,1.78208,1.554583,0.574968,0,0.01,0.17,1,0.99,0.83
HKG2012,12.6714,HKG,"Hong Kong SAR, China",2012,1000,EAS,East Asia and Pacific,HIC,High income,0.235495879,0.235495879,39887.6,9393.365428,9393.365428,7150100,117627,138696,256323,201379,234598,298447,331363,331175,330965,353172,2081099,,,,12.8,91521.28,,,,,,,,,,12.6714,74.53764706,99.7495,99.6115,96.6096,86.0097,,1.740234,1.834511,1.006289,1.948253,1.580348,0.6397095,0,0,0.08,1,1,0.92
HKG2013,12.5007,HKG,"Hong Kong SAR, China",2013,1000,EAS,East Asia and Pacific,HIC,High income,0.214595205,0.214595205,40959.73,8789.761659,8789.761659,7178900,119061,139669,258730,192497,235716,289909,336675,331551,331486,344412,2062246,,,,8,57431.2,,,,,,,,,,12.5007,73.53352941,99.8332,99.7358,96.5964,85.9987,,1.643553,1.746092,0.9228683,1.929717,1.573712,0.725163,0,0,0.05,1,1,0.95
HKG2014,12.6283,HKG,"Hong Kong SAR, China",2014,1000,EAS,East Asia and Pacific,HIC,High income,0.235525585,0.235526169,41796.59,9844.166316,9844.190736,7229500,122280,142192,264472,182961,233705,284266,341005,333747,333647,336755,2046086,,,,8.6,62173.7,,,,,,,,,,12.6283,74.28411765,99.917,99.8603,96.5833,85.9877,,1.619889,1.832899,1.153229,2.057507,1.860669,0.5356985,0,0,0.04,1,1,0.96
HKG2015,12.7118,HKG,"Hong Kong SAR, China",2015,1000,EAS,East Asia and Pacific,HIC,High income,0.216696966,0.216696966,42431.89,9194.861831,9194.861831,7291300,128498,147800,276298,172879,227787,281224,342749,337807,335911,331721,2030078,,,,8.2,59788.66,,,,,,,,,,12.7118,74.77529412,100,99.984,96.5701,85.9768,,1.651854,1.908817,1.046295,2.189884,1.825471,0.5148095,0,0,0.03,1,1,0.97
HKG2016,12.5857,HKG,"Hong Kong SAR, China",2016,1000,EAS,East Asia and Pacific,HIC,High income,0.246045327,0.246060937,43087.29,10601.42637,10602.09895,7336600,130954,147898,278852,164095,224683,276270,338983,341812,336709,329183,2011735,,,,8.3,60893.78,,,,,,,,,,12.5857,74.03352941,100,100,96.5569,85.9658,,1.561693,1.841636,0.7508071,2.153887,1.722995,0.3772678,0,0,0.02,1,1,0.98
HKG2017,12.6666,HKG,"Hong Kong SAR, China",2017,1000,EAS,East Asia and Pacific,HIC,High income,0.257857258,0.257879656,44380.54,11443.84436,11444.8384,7393200,140448,156103,296551,153964,219295,273849,332208,347430,337160,329082,1992988,,,,7.7,56927.64,,,,,,,,,,12.6666,74.50941176,100,100,96.5437,85.9548,,1.618103,1.905391,0.8294839,2.166828,1.722528,0.4282603,0,0,0.01,1,1,0.99
HKG2018,12.8368,HKG,"Hong Kong SAR, China",2018,1000,EAS,East Asia and Pacific,HIC,High income,0.237882874,0.237908801,45280.22,10771.38888,10772.56285,7452600,154031,169205,323236,143915,210754,273037,323841,353035,337740,330457,1972779,,,,7.2,53658.72,,,,,,,,,,12.8368,75.51058824,100,100,96.5305,85.9439,,1.675505,1.902525,0.7835555,2.226014,1.7715,0.4400779,0,0,0.01,1,1,0.99
HKG2019,12.9059,HKG,"Hong Kong SAR, China",2019,1000,EAS,East Asia and Pacific,HIC,High income,0.233088425,0,44192.38,10300.73227,0,7507900,166834,181822,348656,135618,199539,271770,316394,356569,339401,331955,1951246,,,,7,52555.3,,,,,,,,,,12.9059,75.91705882,100,100,96.5174,85.9329,,1.690355,1.740746,-0.222178,1.983565,1.604442,0.1269743,0,0,0,1,1,1
HKG2020,0,HKG,"Hong Kong SAR, China",2020,1000,EAS,East Asia and Pacific,HIC,High income,0.233505305,0,41469.98,9683.460339,0,7481000,173663,188127,361790,128726,185054,265309,308314,353460,339149,329569,1909581,,,,5.8,43389.8,,,,,,,,,,,,100,100,96.5042,85.9219,,1.649827,1.662403,0.0922063,1.787972,1.590243,0.0384611,0,0,0,1,1,1
HKG2021,,HKG,"Hong Kong SAR, China",2021,1000,EAS,East Asia and Pacific,HIC,High income,,,44535.94,,,7413100,179911,192582,372493,127012,172682,251975,297293,344248,338216,325691,1857117,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1
HND1980,7.28898,HND,Honduras,1980,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,,0,1770.562,,0,3678274,340463,350815,691278,199016,166462,136246,100116,77404,65815,57554,802613,68.6,931.4,150786.091,44.013,161891.8736,,,,94.8,905.2,90.52,146544.5239,,14854,7.28898,42.87635294,,,,,28,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1981,0,HND,Honduras,1981,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.131776913,0.15103315,1696.06,223.5015512,256.1612844,3792922,351383,362394,713777,205449,171155,141446,105415,79914,66892,58628,828899,65.9,934.1,154041.1818,43.478,164908.6627,,,,90.4,909.6,90.96,150000.9196,,14451,7.51821,44.224764705,,,,,34,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1982,7.74744,HND,Honduras,1982,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.133123426,0.152569284,1610.876,214.4453315,245.770198,3910642,360376,371889,732265,212721,176128,146300,111486,82817,68098,59646,857196,63.1,936.9,157209.7841,42.908,167797.8269,,,,86.1,913.9,91.39,153350.434,,14033,7.74744,45.57317647,,,,,46,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1983,7.95583,HND,Honduras,1983,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.135488472,0.155271043,1576.802,213.638493,244.8316916,4031333,368019,379931,747950,220503,181455,150943,117958,86185,69508,60614,887166,60.5,939.5,160269.1991,42.316,170589.8872,,,,82,918,91.8,156601.5165,,13606,7.95583,46.799,,,,,52,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1984,7.99693,HND,Honduras,1984,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.146430145,0.16782422,1626.724,238.2014319,273.0036868,4154864,375252,387543,762795,228307,187234,155616,124264,90138,71210,61559,918328,58,942,163263.6691,41.714,173315.9969,,,,78.1,921.9,92.19,159780.0175,,13181,7.99693,47.04076471,,,,,41,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1985,8.09053,HND,Honduras,1985,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.152934084,0.175264855,1667.556,255.0261487,292.2639604,4281167,382878,395609,778487,235870,193540,160489,130066,94733,73266,62531,950495,55.6,944.4,166229.416,41.114,176015.9,,,,74.3,925.7,92.57,162937.9187,,12747,8.09053,47.59135294,,,,,58,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1986,8.23942,HND,Honduras,1986,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.155463799,0.178166612,1705.032,265.0707517,303.7797742,4410270,390707,403922,794629,242873,200085,165248,135335,100047,75767,63675,983030,53.3,946.7,169212.6113,40.528,178739.4226,,,,70.7,929.3,92.93,166102.5454,,12334,8.23942,48.46717647,,,,,62,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1987,0,HND,Honduras,1987,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.15235579,0.174606379,1765.401,268.9690647,308.2502755,4542218,398222,411906,810128,249677,207275,170137,140122,106018,78590,64896,1016715,51.1,948.9,172257.8826,39.966,181534.2846,,,,67.3,932.7,93.27,169317.0272,,11933,8.183482000000001,48.138129412,,,,,58,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1988,0,HND,Honduras,1988,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.146730967,0.168176876,1744.453,255.9652754,293.3766553,4677023,405719,419876,825595,256542,214849,175283,144592,112288,81837,66260,1051651,49.1,950.9,175369.1343,39.432,184424.3709,,,,64.1,935.9,93.59,172602.7688,,11548,8.127544,47.809082354,,,,,74,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1989,0,HND,Honduras,1989,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.113751858,0.13036989,1740.797,198.0188929,226.9475128,4814696,413341,427977,841318,263924,222428,180869,149038,118342,85652,67879,1088132,47,953,178644.9715,38.934,187455.3741,,,,61,939,93.9,176020.5962,,11182,8.071606000000001,47.480035296000004,,,,,85,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1990,0,HND,Honduras,1990,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.129531533,0.148455469,1738.622,225.2063722,258.1079451,4955302,421208,436334,857542,272103,229793,186989,153671,123873,90090,69838,1126357,45.1,954.9,182099.2793,38.484,190699.8422,,,,58.2,941.8,94.18,179601.1114,,10840,8.015668,47.150988238000004,,,,,84,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1991,7.95973,HND,Honduras,1991,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.145745539,0.167043469,1633.671,238.100261,272.8940716,5098594,428898,444501,873399,280730,236779,193488,158455,129127,95293,72308,1166180,43.3,956.7,185815.861,38.094,194225.8398,,,,55.5,944.5,94.45,183446.3057,,10532,7.95973,46.82194118,,,,,94,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1992,0,HND,Honduras,1992,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.153394281,0.175807027,1684.627,258.4121479,296.1692644,5244677,436991,453068,890059,290055,243487,200553,163283,133859,101126,75086,1207449,41.6,958.4,189775.4485,37.755,198012.7801,,,,53,947,94.7,187518.1028,,10255,8.031089999999999,47.241705885,,,,,93,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1993,8.10245,HND,Honduras,1993,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.144639288,0.165767696,1744.256,252.2879464,289.1412987,5394416,445549,462107,907656,299873,250250,208010,168330,138245,107276,78269,1250253,39.9,960.1,193960.2461,37.45,202020.8792,,,,50.6,949.4,94.94,191798.6227,,10001,8.10245,47.66147059,,,,,94,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1994,0,HND,Honduras,1994,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.132507222,0.151864545,1699.268,225.1652823,258.058561,5548969,454814,471880,926694,309808,257569,215515,173804,142594,113248,82008,1294546,38.4,961.6,198260.2765,37.156,206177.4922,,,,48.4,951.6,95.16,196198.5015,,9768,8.20462846153846,48.26252036384616,,,,,94,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1995,0,HND,Honduras,1995,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.148609649,0.170320706,1753.856,260.6399239,298.7179925,5709010,464965,482587,947552,319600,265734,222852,179817,147119,118723,86377,1340222,36.9,963.1,202531.6313,36.835,210291.3834,,,,46.3,953.7,95.37,200554.8923,,9543,8.306806923076923,48.86357013769231,,,,,94,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1996,0,HND,Honduras,1996,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.144106501,0.156157316,1736.242,250.2037592,271.1268899,5874814,475825,493958,969783,329023,274504,229975,186496,152028,123949,91520,1387495,35.5,964.5,206506.7766,36.445,214107.5962,,,,44.3,955.7,95.57,204622.6297,,9310,8.408985384615384,49.46461991153846,,,,,94,-1.078811,-0.7439151,-0.4701714,-0.6920494,-0.9293492,-0.2227673,NaN,NaN,NaN,NaN,NaN,NaN
HND1997,0,HND,Honduras,1997,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.156290179,0.161176117,1764.742,275.8118437,284.4342627,6045704,487463,506107,993570,338285,283969,236830,193733,157008,128708,97324,1435857,34.2,965.8,209962.4767,35.959,217397.4701,,,,42.4,957.6,95.76,208179.8174,,9057,8.511163846153845,50.06566968538461,,,,,95,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND1998,0,HND,Honduras,1998,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.192006961,0.196963026,1776.758,341.1499032,349.9556314,6220405,499031,518198,1017229,347351,293896,243733,201319,162184,133171,103454,1485108,41.5,958.5,210831.4119,35.361,219959.7412,,,,63.7,936.3,93.63,205948.3057,,13777,8.613342307692308,50.66671945923077,,,,,97,-0.9362539,-0.5477311,0.0311014,-0.1279094,-0.918294,-0.0224338,NaN,NaN,NaN,NaN,NaN,NaN
HND1999,0,HND,Honduras,1999,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.206055536,0.206221323,1714.962,353.3774145,353.6617333,6397140,509083,528809,1037892,356241,303946,251206,208930,167768,137647,109424,1535162,31.5,968.5,214659.9957,34.647,221641.7096,,,,38.7,961.3,96.13,213064.1754,,8456,8.71552076923077,51.267769233076926,,,,,95,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HND2000,0,HND,Honduras,2000,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.194976278,0.194976278,1790.364,349.0785098,349.0785098,6574510,516700,537055,1053755,364980,313891,259548,216384,173893,142329,114945,1585970,30.3,969.7,215670.1031,33.829,222409.0988,85,"99,915",99.92,37,963,96.3,214179.9621,190,8139,8.81769923076923,51.868819006923076,85.1718,,62.996,40.0492,94,-0.9548938,-0.5240234,-0.0785407,-0.3238879,-0.9886417,-0.0986046,0.18,0.43,0.63,0.82,0.57,0.37
HND2001,0,HND,Honduras,2001,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.197819551,0.197819551,1790.797,354.2546592,354.2546592,6751912,524861,545812,1070673,372921,323307,268350,223596,180591,147149,120030,1635944,29,971,215872.9204,32.927,222320.2064,83,"99,917",99.92,35.3,964.7,96.47,214472.3031,180,7792,8.919877692307692,52.46986878076923,85.7369,,64.1324,40.7528,96,,,,,,,0.16,0.43,0.63,0.84,0.57,0.37
HND2002,0,HND,Honduras,2002,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.202884638,0.202884638,1810.474,367.3173616,367.3173616,6929267,527347,548879,1076226,380961,332892,278119,230781,188063,152237,124834,1687887,27.8,972.2,215444.272,31.981,221604.8879,80,"99,920",99.92,33.7,966.3,96.63,214136.8032,180,7430,9.022056153846155,53.07091855461539,86.3222,,65.2863,41.4202,95,-0.9709062,-0.590724,-0.2558409,-0.4053921,-0.8364114,-0.1626548,0.14,0.43,0.63,0.86,0.57,0.37
HND2003,0,HND,Honduras,2003,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.209623997,0.209623997,1845.637,386.8898049,386.8898049,7106323,525798,547874,1073672,389071,342421,288477,238109,195980,157644,129441,1741143,26.6,973.4,214636.7406,31.029,220502.0964,78,"99,922",99.92,32.1,967.9,96.79,213423.9791,170,7068,9.124234615384616,53.67196832846154,86.89,,66.4272,42.0686,92,-0.9234992,-0.6418155,-0.3794161,-0.4888186,-0.8814018,-0.1778577,0.13,0.32,0.56,0.87,0.68,0.44
HND2004,0,HND,Honduras,2004,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.21997771,0.21997771,1913.112,420.8419969,420.8419969,7282953,522858,545381,1068239,397237,351617,298839,245881,203844,163438,134030,1794886,25.5,974.5,213570.0768,30.092,219158.6217,77,"99,923",99.92,30.6,969.4,96.94,212452.3679,170,6708,9.226413076923077,54.273018102307695,87.4522,,67.5533,42.6995,94,-0.8933676,-0.6241323,-0.3921981,-0.3480996,-0.7617976,-0.3408182,0.12,0.3,0.56,0.88,0.7,0.44
HND2005,0,HND,Honduras,2005,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.218315401,0.218315401,1980.986,432.4797531,432.4797531,7458982,520442,543271,1063713,405521,360380,308846,254299,211384,169664,138746,1848840,24.4,975.6,212349.6362,29.181,217660.5537,77,"99,923",99.92,29.2,970.8,97.08,211304.8656,170,6367,9.32859153846154,54.874067876153845,88.0082,,68.6637,43.2489,98,-0.81171,-0.67127,-0.6260932,-0.6264381,-0.7792091,-0.3458069,0.12,0.28,0.55,0.88,0.72,0.45
HND2006,9.43077,HND,Honduras,2006,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.221789828,0.221789828,2062.604,457.464586,457.464586,7634295,514917,537925,1052842,414148,369033,318969,263806,219158,176710,143772,1905596,23.4,976.6,210972.5987,28.297,216027.6456,77,"99,923",99.92,27.9,972.1,97.21,210000.4743,170,6040,9.43077,55.47511765,88.5586,,69.7595,43.7791,95,-0.8319468,-0.6452383,-0.6696391,-0.4700296,-0.9913117,-0.1394328,0.12,0.24,0.53,0.88,0.76,0.47
HND2007,9.11073,HND,Honduras,2007,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.224046278,0.224046278,2141.375,479.7670984,479.7670984,7808520,512152,535059,1047211,422568,377051,328609,273761,226532,184240,148849,1961610,22.4,977.6,209405.1663,27.432,214203.3206,77,"99,923",99.92,26.7,973.3,97.33,208484.092,160,5729,9.11073,53.59252941,89.103,,70.8404,44.2908,94,-0.7884458,-0.5486689,-0.4366662,-0.2864851,-0.9304911,-0.1927967,0.12,0.21,0.5,0.88,0.79,0.5
HND2008,9.12852,HND,Honduras,2008,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.23844568,0.23844568,2183.766,520.7095688,520.7095688,7980955,511208,533825,1045033,431210,384726,337816,283986,233835,192071,154139,2017783,21.5,978.5,207635.3825,26.588,212197.6315,76,"99,924",99.92,25.5,974.5,97.45,206786.5919,160,5426,9.12852,53.69717647,89.6417,,71.9069,44.7838,93,-0.9048845,-0.6170768,-0.529581,-0.3067068,-0.9648281,-0.2946571,0.13,0.2,0.46,0.87,0.8,0.54
HND2009,0,HND,Honduras,2009,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.21595896,0.21595896,2086.271,450.548915,450.548915,8150780,509989,532284,1042273,440710,392531,346710,294204,241614,199922,159880,2075571,20.6,979.4,205774.5413,25.777,210102.6561,75,"99,925",99.93,24.4,975.6,97.56,204976.1513,160,5139,9.24101,54.358882355000006,90.1741,,72.9586,45.2591,97,-0.9043521,-0.6754177,-0.30812,-0.2998717,-0.8969461,-0.5329577,0.14,0.22,0.41,0.86,0.78,0.59
HND2010,9.3535,HND,Honduras,2010,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.217815401,0.217815401,2120.743,461.9304862,461.9304862,8317467,507009,529062,1036071,451295,400744,355344,304192,250164,207610,166188,2135537,19.8,980.2,203982.5845,25.02,208103.0243,74,"99,926",99.93,23.3,976.7,97.67,203254.2239,150,4874,9.3535,55.02058824,90.7008,,73.9962,45.7161,97,-0.8922617,-0.641706,-0.4969096,-0.2230574,-0.8780035,-0.503611,0.14,0.25,0.38,0.86,0.75,0.62
HND2011,9.24686,HND,Honduras,2011,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.220271085,0.220271085,2159.711,475.7218843,475.7218843,8480670,504308,525948,1030256,462302,408989,363574,313898,259304,215068,172952,2196087,19.1,980.9,202443.6204,24.336,206385.5851,72,"99,928",99.93,22.4,977.6,97.76,201762.548,150,4637,9.24686,54.39329412,91.2213,,75.0196,46.1557,97,-0.8251773,-0.5353925,-0.3904354,-0.1339601,-0.9038187,-0.4686563,0.15,0.28,0.4,0.85,0.72,0.6
HND2012,8.98572,HND,Honduras,2012,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.222326781,0.222327396,2207.23,490.7263409,490.7276989,8640692,499748,521245,1020993,474434,417366,371509,323434,269145,222348,180368,2258604,18.4,981.6,201330.1905,23.737,205104.106,70,"99,930",99.93,21.5,978.5,97.85,200694.3677,140,4429,8.98572,52.85717647,91.7362,,76.0293,46.5773,98,-0.9540035,-0.698337,-0.3501156,-0.192711,-1.140156,-0.4697777,0.16,0.29,0.45,0.84,0.71,0.55
HND2013,8.77624,HND,Honduras,2013,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.227776085,0.227776085,2228.147,507.5186003,507.5186003,8798524,494137,515692,1009829,486627,426127,379304,332729,279414,229695,188195,2322091,17.7,982.3,200711.5151,23.223,204328.1229,69,"99,931",99.93,20.7,979.3,97.93,200098.5307,140,4244,8.77624,51.62494118,92.2447,,77.025,46.9821,99,-0.9452964,-0.7289591,-0.4386116,-0.186378,-1.164706,-0.4749359,0.18,0.29,0.5,0.82,0.71,0.5
HND2014,8.49455,HND,Honduras,2014,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.240255579,0.240255579,2256.015,542.020191,542.020191,8955579,489386,511098,1000484,497128,435596,387133,341648,289625,237481,196022,2384633,17.1,982.9,200625.1806,22.792,204115.5566,68,"99,932",99.93,20,980,98,200033.2454,140,4079,8.49455,49.96794118,92.7475,,78.0073,47.3696,99,-0.7854325,-0.8105074,-0.534084,-0.398392,-0.9446871,-0.4091908,0.18,0.31,0.54,0.82,0.69,0.46
HND2015,8.68234,HND,Honduras,2015,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.242805548,0.242805548,2302.204,558.987903,558.987903,9112904,486830,508740,995570,504840,445922,395139,350124,299470,245914,203601,2445010,16.5,983.5,201056.6841,22.433,204429.7754,67,"99,933",99.93,19.2,980.8,98.08,200504.7237,140,3928,8.68234,51.07258824,93.2544,,78.976,47.7414,98,-0.566732,-0.8218005,-0.4689144,-0.3959342,-0.9256861,-0.4217526,0.18,0.35,0.55,0.82,0.65,0.45
HND2016,8.70927,HND,Honduras,2016,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.315049544,0.315049544,2351.094,740.7110928,740.7110928,9270794,484874,507262,992136,509876,457250,403578,358491,309262,255104,211076,2504637,16,984,201880.0685,22.13,205162.6712,65,"99,935",99.94,18.6,981.4,98.14,201346.6455,130,3810,8.70927,51.231,93.7547,,79.9643,48.1578,95,-0.6576432,-0.7264652,-0.4333121,-0.513028,-1.118942,-0.4381704,0.18,0.38,0.55,0.82,0.62,0.45
HND2017,8.63654,HND,Honduras,2017,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.311921355,0.311921355,2423.592,755.9701003,755.9701003,9429016,486202,509023,995225,511990,469299,411835,366310,318673,264807,218238,2561152,15.4,984.6,202934.7843,21.859,206108.8607,65,"99,935",99.94,18,982,98.2,202398.9013,130,3697,8.63654,50.80317647,94.2484,,80.9384,48.559,90,-0.7189602,-0.5083557,-0.5649181,-0.4349952,-1.044247,-0.4401779,0.18,0.4,0.56,0.82,0.6,0.44
HND2018,0,HND,Honduras,2018,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.30640639,0.306962384,2475.17,758.407904,759.7840828,9587523,489787,512991,1002778,511958,481109,420278,373833,327712,274827,225389,2615106,14.9,985.1,203995.4037,21.599,207080.9093,,,,17.4,982.6,98.26,203477.7015,,3581,8.724409999999999,51.320058825,94.7353,,81.8984,48.9455,91,-0.6142679,-0.6185808,-0.5307975,-0.4489721,-1.028927,-0.530851,0.17,0.4,0.59,0.83,0.6,0.41
HND2019,8.81228,HND,Honduras,2019,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.305187033,0.305121039,2499.493,762.8128528,762.6479005,9746115,493666,517208,1010874,511066,491260,429497,381469,336449,284857,233028,2667626,14.4,985.6,204958.3346,21.337,207952.8558,,,,16.8,983.2,98.32,204459.2478,,3472,8.81228,51.83694118,95.2155,,82.8444,49.3175,88,-0.8119133,-0.6119988,-0.5751516,-0.4932474,-1.009133,-0.5727262,0.16,0.41,0.59,0.84,0.59,0.41
HND2020,0,HND,Honduras,2020,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.276150949,0.274178402,2239.008,618.3041842,613.8876359,9904608,496590,520427,1017017,510080,498856,439733,389450,344918,294671,241434,2719142,13.9,986.1,205691.629,21.06,208591.0445,,,,16.2,983.8,98.38,205211.8696,,3368,,,95.6892,,83.7766,49.6751,80,-0.8577685,-0.5959823,-0.5446041,-0.4955445,-0.9583805,-0.603004,0.16,0.42,0.59,0.84,0.58,0.41
HND2021,,HND,Honduras,2021,1000,LCN,Latin America and Caribbean,LMC,Lower middle income,0.273959769,,2479.99,679.4174879,,10062994,502292,526547,1028839,508274,503758,450760,397550,352936,304101,250283,2767662,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.16,0.41,0.59,0.84,0.59,0.41
HRV1980,0,HRV,Croatia,1980,1000,ECS,Europe and Central Asia,HIC,High income,,0,,,0,4599782,157834,166405,324239,170298,180820,183713,165690,128351,164462,174797,1168131,,,,14.8,68076.7736,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
HRV1981,0,HRV,Croatia,1981,1000,ECS,Europe and Central Asia,HIC,High income,,0,,,0,4611509,155411,163838,319249,167267,179370,184673,172102,130549,156783,173950,1164694,20.7,979.3,65934.34115,14.6,67328.0314,,,,23.6,976.4,97.64,65739.08986,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
